波长nm	计数count
346.31244	0
346.3151	0
346.31776	0
346.32042	0
346.32308	0
346.32574	0
346.3284	0
346.33106	0
346.33372	0
346.33638	0
346.33904	0
346.3417	0
346.34436	0
346.34702	0
346.34968	0
346.35234	0
346.355	460
346.3605	0
346.366	0
346.3715	0
346.377	0
346.3825	0
346.388	0
346.3935	0
346.399	0
346.4045	0
346.41	0
346.4155	0
346.421	0
346.4265	0
346.432	0
346.4375	0
346.443	0
346.4485	0
346.454	0
346.4595	0
346.465	0
346.4705	0
346.476	0
346.4815	0
346.487	0
346.4925	0
346.498	0
346.5035	0
346.509	0
346.5145	0
346.52	0
346.5255	0
346.531	0
346.5365	0
346.542	0
346.5475	0
346.553	0
346.5585	0
346.564	0
346.5695	0
346.575	0
346.5805	0
346.586	0
346.5915	0
346.597	0
346.6025	0
346.608	0
346.6135	0
346.619	0
346.6245	0
346.63	630
346.64244	0
346.65488	0
346.66732	0
346.67976	0
346.6922	0
346.70464	0
346.71708	0
346.72952	0
346.74196	0
346.7544	0
346.76684	0
346.77928	0
346.79172	0
346.80416	0
346.8166	0
346.82904	0
346.84148	0
346.85392	0
346.86636	0
346.8788	0
346.89124	0
346.90368	0
346.91612	0
346.92856	0
346.941	0
346.95344	0
346.96588	0
346.97832	0
346.99076	0
347.0032	0
347.01564	0
347.02808	0
347.04052	0
347.05296	0
347.0654	0
347.07784	0
347.09028	0
347.10272	0
347.11516	0
347.1276	0
347.14004	0
347.15248	0
347.16492	0
347.17736	0
347.1898	0
347.20224	0
347.21468	0
347.22712	0
347.23956	0
347.252	390
347.25382	0
347.25564	0
347.25746	0
347.25928	0
347.2611	0
347.26292	0
347.26474	0
347.26656	0
347.26838	0
347.2702	0
347.27202	0
347.27384	0
347.27566	0
347.27748	0
347.2793	0
347.28112	0
347.28294	0
347.28476	0
347.28658	0
347.2884	0
347.29022	0
347.29204	0
347.29386	0
347.29568	0
347.2975	0
347.29932	0
347.30114	0
347.30296	0
347.30478	0
347.3066	0
347.30842	0
347.31024	0
347.31206	0
347.31388	0
347.3157	0
347.31752	0
347.31934	0
347.32116	0
347.32298	0
347.3248	0
347.32662	0
347.32844	0
347.33026	0
347.33208	0
347.3339	0
347.33572	0
347.33754	0
347.33936	0
347.34118	0
347.343	320
347.35686	0
347.37072	0
347.38458	0
347.39844	0
347.4123	0
347.42616	0
347.44002	0
347.45388	0
347.46774	0
347.4816	0
347.49546	0
347.50932	0
347.52318	0
347.53704	0
347.5509	0
347.56476	0
347.57862	0
347.59248	0
347.60634	0
347.6202	0
347.63406	0
347.64792	0
347.66178	0
347.67564	0
347.6895	0
347.70336	0
347.71722	0
347.73108	0
347.74494	0
347.7588	0
347.77266	0
347.78652	0
347.80038	0
347.81424	0
347.8281	0
347.84196	0
347.85582	0
347.86968	0
347.88354	0
347.8974	0
347.91126	0
347.92512	0
347.93898	0
347.95284	0
347.9667	0
347.98056	0
347.99442	0
348.00828	0
348.02214	0
348.036	360
348.04026	0
348.04452	0
348.04878	0
348.05304	0
348.0573	0
348.06156	0
348.06582	0
348.07008	0
348.07434	0
348.0786	0
348.08286	0
348.08712	0
348.09138	0
348.09564	0
348.0999	0
348.10416	0
348.10842	0
348.11268	0
348.11694	0
348.1212	0
348.12546	0
348.12972	0
348.13398	0
348.13824	0
348.1425	0
348.14676	0
348.15102	0
348.15528	0
348.15954	0
348.1638	0
348.16806	0
348.17232	0
348.17658	0
348.18084	0
348.1851	0
348.18936	0
348.19362	0
348.19788	0
348.20214	0
348.2064	0
348.21066	0
348.21492	0
348.21918	0
348.22344	0
348.2277	0
348.23196	0
348.23622	0
348.24048	0
348.24474	0
348.249	680
348.26276	0
348.27652	0
348.29028	0
348.30404	0
348.3178	0
348.33156	0
348.34532	0
348.35908	0
348.37284	0
348.3866	0
348.40036	0
348.41412	0
348.42788	0
348.44164	0
348.4554	0
348.46916	0
348.48292	0
348.49668	0
348.51044	0
348.5242	0
348.53796	0
348.55172	0
348.56548	0
348.57924	0
348.593	0
348.60676	0
348.62052	0
348.63428	0
348.64804	0
348.6618	0
348.67556	0
348.68932	0
348.70308	0
348.71684	0
348.7306	0
348.74436	0
348.75812	0
348.77188	0
348.78564	0
348.7994	0
348.81316	0
348.82692	0
348.84068	0
348.85444	0
348.8682	0
348.88196	0
348.89572	0
348.90948	0
348.92324	0
348.937	1600
348.94492	0
348.95284	0
348.96076	0
348.96868	0
348.9766	0
348.98452	0
348.99244	0
349.00036	0
349.00828	0
349.0162	0
349.02412	0
349.03204	0
349.03996	0
349.04788	0
349.0558	0
349.06372	0
349.07164	0
349.07956	0
349.08748	0
349.0954	0
349.10332	0
349.11124	0
349.11916	0
349.12708	0
349.135	0
349.14292	0
349.15084	0
349.15876	0
349.16668	0
349.1746	0
349.18252	0
349.19044	0
349.19836	0
349.20628	0
349.2142	0
349.22212	0
349.23004	0
349.23796	0
349.24588	0
349.2538	0
349.26172	0
349.26964	0
349.27756	0
349.28548	0
349.2934	0
349.30132	0
349.30924	0
349.31716	0
349.32508	0
349.333	390
349.33434	0
349.33568	0
349.33702	0
349.33836	0
349.3397	0
349.34104	0
349.34238	0
349.34372	0
349.34506	0
349.3464	0
349.34774	0
349.34908	0
349.35042	0
349.35176	0
349.3531	0
349.35444	0
349.35578	0
349.35712	0
349.35846	0
349.3598	0
349.36114	0
349.36248	0
349.36382	0
349.36516	0
349.3665	0
349.36784	0
349.36918	0
349.37052	0
349.37186	0
349.3732	0
349.37454	0
349.37588	0
349.37722	0
349.37856	0
349.3799	0
349.38124	0
349.38258	0
349.38392	0
349.38526	0
349.3866	0
349.38794	0
349.38928	0
349.39062	0
349.39196	0
349.3933	0
349.39464	0
349.39598	0
349.39732	0
349.39866	0
349.4	340
349.40168	0
349.40336	0
349.40504	0
349.40672	0
349.4084	0
349.41008	0
349.41176	0
349.41344	0
349.41512	0
349.4168	0
349.41848	0
349.42016	0
349.42184	0
349.42352	0
349.4252	0
349.42688	0
349.42856	0
349.43024	0
349.43192	0
349.4336	0
349.43528	0
349.43696	0
349.43864	0
349.44032	0
349.442	0
349.44368	0
349.44536	0
349.44704	0
349.44872	0
349.4504	0
349.45208	0
349.45376	0
349.45544	0
349.45712	0
349.4588	0
349.46048	0
349.46216	0
349.46384	0
349.46552	0
349.4672	0
349.46888	0
349.47056	0
349.47224	0
349.47392	0
349.4756	0
349.47728	0
349.47896	0
349.48064	0
349.48232	0
349.484	320
349.48714	0
349.49028	0
349.49342	0
349.49656	0
349.4997	0
349.50284	0
349.50598	0
349.50912	0
349.51226	0
349.5154	0
349.51854	0
349.52168	0
349.52482	0
349.52796	0
349.5311	0
349.53424	0
349.53738	0
349.54052	0
349.54366	0
349.5468	0
349.54994	0
349.55308	0
349.55622	0
349.55936	0
349.5625	0
349.56564	0
349.56878	0
349.57192	0
349.57506	0
349.5782	0
349.58134	0
349.58448	0
349.58762	0
349.59076	0
349.5939	0
349.59704	0
349.60018	0
349.60332	0
349.60646	0
349.6096	0
349.61274	0
349.61588	0
349.61902	0
349.62216	0
349.6253	0
349.62844	0
349.63158	0
349.63472	0
349.63786	0
349.641	530
349.64834	0
349.65568	0
349.66302	0
349.67036	0
349.6777	0
349.68504	0
349.69238	0
349.69972	0
349.70706	0
349.7144	0
349.72174	0
349.72908	0
349.73642	0
349.74376	0
349.7511	0
349.75844	0
349.76578	0
349.77312	0
349.78046	0
349.7878	0
349.79514	0
349.80248	0
349.80982	0
349.81716	0
349.8245	0
349.83184	0
349.83918	0
349.84652	0
349.85386	0
349.8612	0
349.86854	0
349.87588	0
349.88322	0
349.89056	0
349.8979	0
349.90524	0
349.91258	0
349.91992	0
349.92726	0
349.9346	0
349.94194	0
349.94928	0
349.95662	0
349.96396	0
349.9713	0
349.97864	0
349.98598	0
349.99332	0
350.00066	0
350.008	630
350.01586	0
350.02372	0
350.03158	0
350.03944	0
350.0473	0
350.05516	0
350.06302	0
350.07088	0
350.07874	0
350.0866	0
350.09446	0
350.10232	0
350.11018	0
350.11804	0
350.1259	0
350.13376	0
350.14162	0
350.14948	0
350.15734	0
350.1652	0
350.17306	0
350.18092	0
350.18878	0
350.19664	0
350.2045	0
350.21236	0
350.22022	0
350.22808	0
350.23594	0
350.2438	0
350.25166	0
350.25952	0
350.26738	0
350.27524	0
350.2831	0
350.29096	0
350.29882	0
350.30668	0
350.31454	0
350.3224	0
350.33026	0
350.33812	0
350.34598	0
350.35384	0
350.3617	0
350.36956	0
350.37742	0
350.38528	0
350.39314	0
350.401	320
350.40312	0
350.40524	0
350.40736	0
350.40948	0
350.4116	0
350.41372	0
350.41584	0
350.41796	0
350.42008	0
350.4222	0
350.42432	0
350.42644	0
350.42856	0
350.43068	0
350.4328	0
350.43492	0
350.43704	0
350.43916	0
350.44128	0
350.4434	0
350.44552	0
350.44764	0
350.44976	0
350.45188	0
350.454	0
350.45612	0
350.45824	0
350.46036	0
350.46248	0
350.4646	0
350.46672	0
350.46884	0
350.47096	0
350.47308	0
350.4752	0
350.47732	0
350.47944	0
350.48156	0
350.48368	0
350.4858	0
350.48792	0
350.49004	0
350.49216	0
350.49428	0
350.4964	0
350.49852	0
350.50064	0
350.50276	0
350.50488	0
350.507	320
350.51154	0
350.51608	0
350.52062	0
350.52516	0
350.5297	0
350.53424	0
350.53878	0
350.54332	0
350.54786	0
350.5524	0
350.55694	0
350.56148	0
350.56602	0
350.57056	0
350.5751	0
350.57964	0
350.58418	0
350.58872	0
350.59326	0
350.5978	0
350.60234	0
350.60688	0
350.61142	0
350.61596	0
350.6205	0
350.62504	0
350.62958	0
350.63412	0
350.63866	0
350.6432	0
350.64774	0
350.65228	0
350.65682	0
350.66136	0
350.6659	0
350.67044	0
350.67498	0
350.67952	0
350.68406	0
350.6886	0
350.69314	0
350.69768	0
350.70222	0
350.70676	0
350.7113	0
350.71584	0
350.72038	0
350.72492	0
350.72946	0
350.734	780
350.737	0
350.74	0
350.743	0
350.746	0
350.749	0
350.752	0
350.755	0
350.758	0
350.761	0
350.764	0
350.767	0
350.77	0
350.773	0
350.776	0
350.779	0
350.782	0
350.785	0
350.788	0
350.791	0
350.794	0
350.797	0
350.8	0
350.803	0
350.806	0
350.809	0
350.812	0
350.815	0
350.818	0
350.821	0
350.824	0
350.827	0
350.83	0
350.833	0
350.836	0
350.839	0
350.842	0
350.845	0
350.848	0
350.851	0
350.854	0
350.857	0
350.86	0
350.863	0
350.866	0
350.869	0
350.872	0
350.875	0
350.878	0
350.881	0
350.884	320
350.88564	0
350.88728	0
350.88892	0
350.89056	0
350.8922	0
350.89384	0
350.89548	0
350.89712	0
350.89876	0
350.9004	0
350.90204	0
350.90368	0
350.90532	0
350.90696	0
350.9086	0
350.91024	0
350.91188	0
350.91352	0
350.91516	0
350.9168	0
350.91844	0
350.92008	0
350.92172	0
350.92336	0
350.925	0
350.92664	0
350.92828	0
350.92992	0
350.93156	0
350.9332	0
350.93484	0
350.93648	0
350.93812	0
350.93976	0
350.9414	0
350.94304	0
350.94468	0
350.94632	0
350.94796	0
350.9496	0
350.95124	0
350.95288	0
350.95452	0
350.95616	0
350.9578	0
350.95944	0
350.96108	0
350.96272	0
350.96436	0
350.966	390
350.97402	0
350.98204	0
350.99006	0
350.99808	0
351.0061	0
351.01412	0
351.02214	0
351.03016	0
351.03818	0
351.0462	0
351.05422	0
351.06224	0
351.07026	0
351.07828	0
351.0863	0
351.09432	0
351.10234	0
351.11036	0
351.11838	0
351.1264	0
351.13442	0
351.14244	0
351.15046	0
351.15848	0
351.1665	0
351.17452	0
351.18254	0
351.19056	0
351.19858	0
351.2066	0
351.21462	0
351.22264	0
351.23066	0
351.23868	0
351.2467	0
351.25472	0
351.26274	0
351.27076	0
351.27878	0
351.2868	0
351.29482	0
351.30284	0
351.31086	0
351.31888	0
351.3269	0
351.33492	0
351.34294	0
351.35096	0
351.35898	0
351.367	320
351.36888	0
351.37076	0
351.37264	0
351.37452	0
351.3764	0
351.37828	0
351.38016	0
351.38204	0
351.38392	0
351.3858	0
351.38768	0
351.38956	0
351.39144	0
351.39332	0
351.3952	0
351.39708	0
351.39896	0
351.40084	0
351.40272	0
351.4046	0
351.40648	0
351.40836	0
351.41024	0
351.41212	0
351.414	0
351.41588	0
351.41776	0
351.41964	0
351.42152	0
351.4234	0
351.42528	0
351.42716	0
351.42904	0
351.43092	0
351.4328	0
351.43468	0
351.43656	0
351.43844	0
351.44032	0
351.4422	0
351.44408	0
351.44596	0
351.44784	0
351.44972	0
351.4516	0
351.45348	0
351.45536	0
351.45724	0
351.45912	0
351.461	1600
351.4717	0
351.4824	0
351.4931	0
351.5038	0
351.5145	0
351.5252	0
351.5359	0
351.5466	0
351.5573	0
351.568	0
351.5787	0
351.5894	0
351.6001	0
351.6108	0
351.6215	0
