Ion   Ju     Eu(eV)         Jl      El(eV)          lambda(AA)     A(s^-1)       gf  
UII   6.5   4.2995         7.5     0.6521            3398.258      2.252E+07  0.4747 
UII   5.5   3.6803         5.5     0.03584           3401.012      1.660E+07  0.3434 
UII   6.5   4.2121         6.5     0.5685            3401.864      1.337E+07  0.3227 
UII   4.5   3.7523         4.5     0.1134            3406.269      1.895E+07  0.3276 
UII   5.5   3.8539         6.5     0.2169            3407.976      1.723E+07  0.3067 
UII   5.5   4.6614         4.5     1.039             3421.694      3.220E+07  0.8090 
UII   4.5   4.2914         3.5     0.6697            3422.349      1.612E+07  0.3517 
UII   7.5   3.8363         6.5     0.2169            3424.557      1.709E+07  0.5461 
UII   6.5   4.3300         5.5     0.7179            3431.558      1.729E+07  0.4956 
UII   5.5   3.8262         6.5     0.2169            3434.143      2.153E+07  0.3891 
UII   3.5   4.1900         2.5     0.5835            3436.78       2.304E+07  0.4326 
UII   4.5   4.2914         3.5     0.7027            3453.781      2.165E+07  0.4809 
UII   7.5   3.8036         6.5     0.2169            3455.744      1.121E+07  0.3646 
UII   5.5   4.2699         6.5     0.6852            3457.712      3.579E+07  0.6557 
UII   5.5   3.8539         5.5     0.2845            3472.562      1.458E+07  0.3144 
UII   5.5   3.6803         4.5     0.1134            3474.986      1.023E+07  0.2650 
UII   5.5   3.7761         6.5     0.2169            3482.49       3.031E+07  0.5633 
UII   5.5   4.2699         5.5     0.7179            3489.563      2.590E+07  0.5638 
UII   5.5   3.6647         4.5     0.1134            3490.232      1.338E+07  0.3496 
UII   6.5   4.2003         7.5     0.6521            3493.333      3.034E+07  0.6757 
UII   6.5   3.7626         6.5     0.2169            3495.748      8.410E+06  0.2144 
UII   7.5   3.7619         6.5     0.2169            3496.414      1.504E+07  0.5011 
UII   6.5   3.8266         5.5     0.2845            3499.324      1.272E+07  0.3791 
UII   7.5   4.1076         6.5     0.5685            3502.249      1.499E+07  0.5011 
UII   6.5   4.1884         7.5     0.6521            3505.074      2.746E+07  0.6157 
UII   6.5   4.1044         6.5     0.5685            3505.436      1.591E+07  0.4078 
UII   5.5   3.7493         6.5     0.2169            3508.841      2.116E+07  0.3993 
UII   5.5   3.5656         5.5     0.03584           3511.578      1.089E+07  0.2400 
