波长nm	计数count
395.9	2312
395.95	2327
396	2070
396.05	2729
396.1	3089
396.15	3064
396.2	3215
396.25	2805
396.3	2566
396.35	2344
396.39	2530
396.44	2695
396.49	2172
396.54	3987
396.59	2202
396.64	2539
396.69	2721
396.74	3866
396.79	2875
396.84	1947
396.89	2841
396.94	2674
396.98	2151
397.03	3767
397.08	2155
397.13	2414
397.18	2097
397.23	2181
397.28	3053
397.33	2407
397.38	2565
397.43	2588
397.48	2632
397.52	2102
397.57	2099
397.62	2406
397.67	2942
397.72	2152
397.77	2437
397.82	2695
397.87	2367
397.92	2401
397.96	2936
398.01	2962
398.06	2215
398.11	1829
398.16	2510
398.21	2642
398.26	3137
398.31	2733
398.36	2196
398.4	3077
398.45	2227
398.5	2370
398.55	2716
398.6	2768
398.65	2288
398.7	2645
398.75	2867
398.79	2920
398.84	2920
398.89	2922
398.94	2312
398.99	2483
399.04	2276
399.09	3070
399.13	2305
399.18	2274
399.23	3363
399.28	3530
399.33	3199
399.38	3620
399.43	2373
399.47	3623
399.52	2981
399.57	3161
399.62	3666
399.67	2856
399.72	2361
399.77	2662
399.81	3068
399.86	3479
399.91	3262
399.96	2606
400.01	2519
400.06	2564
400.1	2485
400.15	2081
400.2	3413
400.25	2493
400.3	2970
400.35	3404
400.39	1930
400.44	3456
400.49	2804
400.54	2639
400.59	2994
400.64	3091
400.68	2714
400.73	2670
400.78	1971
400.83	2255
400.88	2295
400.93	2945
400.97	3075
401.02	2773
401.07	3895
401.12	2285
401.17	2392
401.21	2313
401.26	2478
401.31	2859
401.36	2728
401.41	3118
401.46	2684
401.5	2841
401.55	2703
401.6	2822
401.65	3553
401.7	3116
401.74	2174
401.79	2471
401.84	3135
401.89	2382
401.94	2846
401.98	2869
402.03	2891
402.08	3061
402.13	3029
402.18	3041
402.22	3062
402.27	2681
402.32	2336
402.37	2840
402.41	2322
402.46	2327
402.51	2604
402.56	3330
402.61	3450
402.65	2689
402.7	2523
402.75	2052
402.8	2899
402.84	4045
402.89	3084
402.94	2587
402.99	3502
403.04	2821
403.08	2586
403.13	2648
403.18	2807
403.23	2649
403.27	2956
403.32	4075
403.37	2086
403.42	2881
403.46	2660
403.51	2960
403.56	2415
403.61	2607
403.65	2094
403.7	2490
403.75	2594
403.8	2837
403.85	2565
403.89	2437
403.94	2799
403.99	4175
404.04	3280
404.08	3310
404.13	3586
404.18	2981
404.22	2493
404.27	2820
404.32	2719
404.37	2711
404.41	3032
404.46	2562
404.51	2024
404.56	3213
404.6	2685
404.65	3040
404.7	3249
404.75	3158
404.79	2582
404.84	2504
404.89	2900
404.93	2036
404.98	2497
405.03	2233
405.08	2814
405.12	1902
405.17	2582
405.22	2922
405.27	2064
405.31	3169
405.36	2385
405.41	3409
405.45	2099
405.5	3290
405.55	2516
405.6	2490
405.64	2392
405.69	2483
405.74	2279
405.78	3884
405.83	2137
405.88	2658
405.92	2281
405.97	3133
406.02	3230
406.07	2874
406.11	2257
406.16	3644
406.21	2836
406.25	2699
406.3	2541
406.35	2408
406.39	2752
406.44	1994
406.49	3161
406.54	2872
406.58	2242
406.63	2954
406.68	2349
406.72	2628
406.77	3114
406.82	2559
406.86	3433
406.91	2542
406.96	2658
407	2803
407.05	3283
407.1	2096
407.14	3539
407.19	3005
407.24	2897
407.28	2609
407.33	2678
407.38	2939
407.42	3872
407.47	3520
407.52	2966
407.56	4503
407.61	2615
407.66	2876
407.7	3086
407.75	2565
407.8	3071
407.84	3021
407.89	2674
407.94	3571
407.98	2778
408.03	2749
408.08	2930
408.12	3053
408.17	2895
408.21	2541
408.26	3442
408.31	2885
408.35	2508
408.4	4169
408.45	2782
408.49	2073
408.54	2054
408.59	3064
408.63	2680
408.68	3253
408.73	3062
408.77	2305
408.82	2660
408.86	2336
408.91	2668
408.96	2495
409	2932
409.05	3016
409.1	3030
409.14	2400
409.19	2585
409.23	2508
409.28	3020
409.33	2373
409.37	2278
409.42	2644
409.47	2968
409.51	3262
409.56	2912
409.6	2421
409.65	2798
409.7	2636
409.74	2981
409.79	3198
409.83	2630
409.88	3649
409.93	3590
409.97	3420
410.02	2671
410.06	3227
410.11	3258
410.16	2427
410.2	2922
410.25	2557
410.29	2999
410.34	2443
410.39	2633
410.43	3007
410.48	2570
410.52	2243
410.57	2583
410.62	2722
410.66	2903
410.71	2487
410.75	2611
410.8	2583
410.84	2681
410.89	2679
410.94	2939
410.98	2253
411.03	3201
411.07	2542
411.12	2761
411.16	2343
411.21	2938
411.26	3048
411.3	2335
411.35	2982
411.39	2239
411.44	2951
411.48	3030
411.53	2765
411.58	3043
411.62	3511
411.67	2575
411.71	2591
411.76	2650
411.8	2627
411.85	3097
411.89	3115
411.94	3591
411.99	1931
412.03	2661
412.08	3390
412.12	3175
412.17	3733
412.21	2515
412.26	3102
412.3	3307
412.35	2551
412.39	3068
412.44	2551
412.49	2315
412.53	2389
412.58	2639
412.62	3354
412.67	2969
412.71	2575
412.76	2122
412.8	3487
412.85	2513
412.89	2546
412.94	3019
412.98	2609
413.03	3349
413.07	2790
413.12	3723
413.16	2695
413.21	2750
413.26	2322
413.3	2909
413.35	2987
413.39	2333
413.44	3359
413.48	2227
413.53	2886
413.57	2795
413.62	3310
413.66	2515
413.71	2735
413.75	2699
413.8	2409
413.84	3057
413.89	2587
413.93	2383
413.98	1979
414.02	2960
414.07	2998
414.11	3089
414.16	2941
414.2	3103
414.25	3050
414.29	2613
414.34	2486
414.38	2588
414.43	3405
414.47	2679
414.52	2492
414.56	3791
414.61	2730
414.65	3522
414.69	2479
414.74	3502
414.78	2945
414.83	2357
414.87	3423
414.92	3521
414.96	2269
415.62	2417
415.68	2878
415.74	2474
415.79	2233
415.85	2446
415.91	2890
415.96	2611
416.02	2141
416.07	4108
416.13	2053
416.19	2969
416.24	3171
416.3	2516
416.36	2762
416.41	2696
416.47	2086
416.53	2633
416.58	4272
416.64	4827
416.69	2650
416.75	4399
416.81	2742
416.86	2758
416.92	5015
416.98	2581
417.03	2647
417.09	2967
417.14	2367
417.2	2605
417.26	2276
417.31	2617
417.37	2861
417.42	3899
417.48	2616
417.54	2934
417.59	2720
417.65	2528
417.7	3381
417.76	3096
417.82	2827
417.87	2962
417.93	3044
417.99	2772
418.04	3234
418.1	3527
418.15	4051
418.21	3576
418.26	2246
418.32	2427
418.38	2849
418.43	3865
418.49	2580
418.54	2829
418.6	3047
418.66	3740
418.71	2854
418.77	3112
418.82	2884
418.88	3355
418.94	3064
418.99	3643
419.05	3036
419.1	2780
419.16	3703
419.21	2592
419.27	2651
419.33	3140
419.38	2848
419.44	2845
419.49	2766
419.55	2647
419.6	2982
419.66	3112
419.72	3060
419.77	3711
419.83	3769
419.88	3139
419.94	3468
419.99	3040
420.05	2415
420.1	2798
420.16	2623
420.22	2840
420.27	2904
420.33	2631
420.38	4079
420.44	2711
420.49	2964
420.55	2420
420.6	2627
420.66	3061
420.71	2785
420.77	3296
420.83	3312
420.88	2777
420.94	2788
420.99	3526
421.05	3534
421.1	3252
421.16	3024
421.21	3066
421.27	3119
421.32	3253
421.38	3356
421.43	3396
421.49	3121
421.54	3455
421.6	2996
421.66	3424
421.71	3356
421.77	2772
421.82	3383
421.88	2746
421.93	4034
421.99	3432
422.04	3802
422.1	3743
422.15	3247
422.21	2957
422.26	3200
422.32	2907
422.37	3017
422.43	3359
422.48	3084
422.54	2682
422.59	3205
422.65	3436
422.7	2595
422.76	3572
422.81	3527
422.87	3094
422.92	4172
422.98	3043
423.03	3740
423.09	3357
423.14	2893
423.2	3928
423.25	3467
423.31	4246
423.36	3964
423.42	3112
423.47	3700
423.53	3511
423.58	3319
423.64	3340
423.69	3420
423.75	3748
423.8	3125
423.86	3639
423.91	2690
423.96	3274
424.02	3148
424.07	3318
424.13	3011
424.18	2903
424.24	3301
424.29	3186
424.35	2917
424.4	2987
424.46	3737
424.51	4168
424.57	4071
424.62	3056
424.68	3469
424.73	3040
424.78	3384
424.84	2699
424.89	4332
424.95	3484
425	3758
425.06	3276
425.11	3409
425.17	3012
425.22	2900
425.28	4607
425.33	3434
425.38	3160
425.44	4092
425.49	4018
425.55	3685
425.6	3277
425.66	3516
425.71	3282
425.77	2975
425.82	3442
